simulation_0,1
simulation_1,2
simulation_2,2B
simulation_3,2C
simulation_4,2.010
simulation_5,3
simulation_6,3B
simulation_7,3C
simulation_8,4
simulation_9,4B
simulation_10,5
simulation_11,5B
simulation_12,6
simulation_13,7
simulation_14,8
simulation_15,8.002
simulation_16,9
simulation_17,10
simulation_18,11
simulation_19,12
simulation_20,13
simulation_21,14
simulation_22,15
simulation_23,16
simulation_24,17
simulation_25,18
simulation_26,19
simulation_27,22
simulation_28,23
simulation_29,24
simulation_30,25
simulation_31,26
simulation_32,28
simulation_33,29
simulation_34,30
simulation_35,31
simulation_36,32
simulation_37,33
simulation_38,34
simulation_39,35
simulation_40,35.002
simulation_41,38
simulation_42,39
simulation_473,7,35.002
simulation_474,18,31
simulation_475,2B,1
simulation_476,18,23
simulation_477,8.002,15
simulation_478,38,29
simulation_479,7,5B
simulation_480,33,2
simulation_481,2B,22
simulation_482,30,12
simulation_483,2B,4B
simulation_484,9,19
simulation_485,2.010,5
simulation_486,35,30
simulation_487,22,25
simulation_488,38,26
simulation_489,4,11
simulation_490,2,9
simulation_491,2,14
simulation_492,38,11
simulation_493,34,5
simulation_494,8,39
simulation_495,33,13
simulation_496,16,19
simulation_497,5B,19
simulation_498,25,16
simulation_499,38,11
simulation_500,8.002,38
simulation_501,32,11
simulation_502,17,8
simulation_503,4B,29
simulation_504,29,18
simulation_505,3C,9
simulation_506,12,14
simulation_507,39,11
simulation_508,1,8.002
simulation_509,23,1
simulation_510,2,2C
simulation_511,35,30
simulation_512,2.010,12
simulation_513,22,35.002
simulation_514,1,2
simulation_515,32,19
simulation_516,12,5B
simulation_517,8.002,16
simulation_518,4B,6
simulation_519,33,3C
simulation_520,6,15
simulation_521,14,39
simulation_522,5B,3C
simulation_523,23,30
simulation_524,8.002,15
simulation_525,1,2C
simulation_526,5B,12
simulation_527,3B,6
simulation_528,22,15
simulation_529,3B,31
simulation_530,25,5
simulation_531,35.002,14
simulation_532,7,24
simulation_533,22,2B
simulation_534,8.002,7
simulation_535,11,8
simulation_536,6,23
simulation_537,9,31
simulation_538,2.010,25
simulation_539,5B,3B
simulation_540,16,7
simulation_541,9,2B
simulation_542,19,26
simulation_543,30,3B
simulation_544,1,32
simulation_545,35,16
simulation_546,18,15
simulation_547,28,11
simulation_548,2C,18
simulation_549,34,11
simulation_550,33,7
simulation_551,17,5
simulation_552,35,15
simulation_553,3B,17
simulation_554,32,2B
simulation_555,5,39
simulation_556,13,22
simulation_557,14,8.002
simulation_558,16,6
simulation_559,30,10
simulation_0,35,7,10
simulation_1,7,3,31
simulation_2,17,26,32
simulation_3,4B,1,39
simulation_4,13,3C,35.002
simulation_5,35.002,34,3
simulation_6,32,24,4
simulation_7,19,22,35.002
simulation_8,16,19,35
simulation_9,4,10,1
simulation_10,5,11,8
simulation_11,26,10,29
simulation_12,5,31,1
simulation_13,32,26,5
simulation_14,5,6,9
simulation_15,24,4,17
simulation_16,11,14,7
simulation_17,8,28,19
simulation_18,9,19,6
simulation_19,24,39,8
simulation_20,3C,38,26
simulation_21,2B,32,3B
simulation_22,6,3,18
simulation_23,3B,14,2C
simulation_24,11,39,7
simulation_25,28,3C,5B
simulation_26,35.002,10,2
simulation_27,31,33,38
simulation_28,25,18,7
simulation_29,2C,29,32
simulation_30,35.002,16,39
simulation_31,4,13,5B
simulation_32,13,19,5B
simulation_33,2.010,30,4
simulation_34,24,3B,10
simulation_35,10,9,25
simulation_36,29,1,35.002
simulation_37,5B,34,9
simulation_38,17,35.002,7
simulation_39,19,17,4
simulation_40,33,38,29
simulation_41,24,3,3B
simulation_42,15,34,8
simulation_43,6,14,16
simulation_44,9,12,29
simulation_45,7,34,8
simulation_46,2.010,11,8
simulation_47,26,10,35
simulation_48,30,3,2B
simulation_49,9,5,39
simulation_50,11,28,25
simulation_51,35,12,8.002
simulation_52,30,3,5B
simulation_53,2B,3B,1
simulation_54,4,8.002,29
simulation_55,35.002,4B,5
simulation_56,33,3B,25
simulation_57,38,10,30
simulation_58,30,10,7
simulation_59,14,3C,2.010
simulation_60,12,1,2
simulation_61,8,24,12
simulation_62,38,18,4B
simulation_63,19,23,8
simulation_64,3C,33,26
simulation_65,32,29,38
simulation_66,31,6,22
simulation_67,14,26,2C
simulation_68,33,12,30
simulation_69,32,13,26
simulation_70,10,6,19
simulation_71,35,4,12
simulation_72,10,1,13
simulation_73,4,32,5
simulation_74,2B,3C,9
simulation_75,26,2B,35
simulation_76,35.002,16,24
simulation_77,34,31,10
simulation_78,2.010,39,26
simulation_79,34,2B,3
simulation_80,31,32,30
simulation_81,9,4B,14
simulation_82,32,13,9
simulation_83,5,34,3C
simulation_84,4,35,38
simulation_85,2,5B,23
simulation_86,5,4,2.010
simulation_87,35,13,22
simulation_88,13,24,12
simulation_89,18,24,15
simulation_90,12,28,15
simulation_91,23,30,12
simulation_92,11,17,2B
simulation_93,25,10,31
simulation_94,5B,14,11
simulation_95,29,6,10
simulation_96,2,10,17
simulation_97,19,17,13
simulation_98,29,22,5B
simulation_99,2B,11,8.002
simulation_100,1,39,11
simulation_101,23,2,8.002
simulation_102,7,26,34
simulation_103,35,1,18
simulation_104,5,30,35
simulation_105,7,22,2C
simulation_106,3,2,30
simulation_107,34,35,13
simulation_108,26,22,4
simulation_109,15,5B,39
simulation_110,23,18,35
simulation_111,10,24,8.002
simulation_112,13,8,9
simulation_113,22,13,11
simulation_114,18,32,14
simulation_115,39,8.002,5B
simulation_116,19,5B,33
simulation_117,23,39,7
simulation_118,16,29,19
simulation_119,3C,3B,2C
simulation_120,35,9,3B
simulation_121,22,1,5B
simulation_122,6,12,5B
simulation_123,3B,6,28
simulation_124,15,34,5
simulation_125,3C,16,10
simulation_126,18,26,34
simulation_127,22,23,15
simulation_128,8.002,17,4B
simulation_129,24,32,10
simulation_130,26,34,22
simulation_131,8,28,18
simulation_132,18,2.010,26
simulation_133,8.002,13,3B
simulation_134,3,29,19
simulation_135,35,3C,6
simulation_136,2C,7,16
simulation_137,29,24,19
simulation_138,26,24,31
simulation_139,28,12,3B
simulation_140,4,23,5B
simulation_141,29,16,11
simulation_142,35,5B,4B
simulation_143,19,5B,9
simulation_144,2C,15,4
simulation_145,39,25,3B
simulation_146,2B,29,33
simulation_147,31,19,4
simulation_148,2C,24,9
simulation_149,3,8.002,29
simulation_150,16,12,29
simulation_151,23,3C,39
simulation_152,3,1,5
simulation_153,14,3,30
simulation_154,2.010,4,22
simulation_155,4,31,30
simulation_156,2B,17,3B
simulation_157,28,22,35.002
simulation_158,31,25,30
simulation_159,11,14,3C
simulation_160,39,32,14
simulation_161,28,8,31
simulation_162,31,11,29
simulation_163,4,3,2C
simulation_164,26,28,12
simulation_165,34,19,15
simulation_166,6,11,5
simulation_167,14,5,19
simulation_168,5B,6,26
simulation_169,9,28,2.010
simulation_170,31,16,6
simulation_171,3C,5,19
simulation_172,39,29,32
simulation_173,8.002,35,8
simulation_174,4,5B,8.002
simulation_175,15,7,32
simulation_176,23,8.002,9
simulation_177,22,33,30
simulation_178,23,9,12
simulation_179,13,5B,3B
simulation_180,30,19,7
simulation_181,10,39,3
simulation_182,2B,9,31
simulation_183,34,30,23
simulation_184,2,3B,22
simulation_185,4,23,17
simulation_186,28,11,29
simulation_187,35,6,5B
simulation_188,4B,32,2.010
simulation_189,10,29,2.010
simulation_190,38,15,2.010
simulation_191,3C,23,33
simulation_192,35.002,2,17
simulation_193,14,29,35.002
simulation_194,17,1,33
simulation_195,12,23,31
simulation_196,6,25,22
simulation_197,24,31,17
simulation_198,35.002,5B,29
simulation_199,30,10,39
simulation_200,11,26,31
simulation_201,3B,6,5
simulation_202,29,28,35
simulation_203,7,11,32
simulation_204,8.002,5,11
simulation_205,39,29,12
simulation_206,32,18,33
simulation_207,4,24,2C
simulation_208,6,5B,25
simulation_209,8.002,5,23
simulation_210,2.010,11,30
simulation_211,2,31,23
simulation_212,34,26,3
simulation_213,4B,5,18
simulation_214,28,5,7
simulation_215,34,17,35
simulation_216,3,18,15
simulation_217,15,4,32
simulation_218,22,4B,38
simulation_219,14,29,22
simulation_220,5,14,24
simulation_221,3C,33,8.002
simulation_222,38,4,39
simulation_223,29,12,26
simulation_224,3C,4B,15
simulation_225,13,24,6
simulation_226,9,25,1
simulation_227,39,32,33
simulation_228,31,3B,13
simulation_229,3,10,24
simulation_230,25,11,9
simulation_231,5,2.010,2
simulation_232,1,31,18
simulation_233,35.002,34,1
simulation_234,35,17,38
simulation_235,5,9,2C
simulation_236,3C,5,19
simulation_237,4,23,7
simulation_238,3B,10,3C
simulation_239,10,3C,23
simulation_240,15,28,6
simulation_241,3C,3,13
simulation_242,38,4B,35.002
simulation_243,24,8.002,31
simulation_244,3C,6,13
simulation_245,32,4B,19
simulation_246,5,2,18
simulation_247,24,3,2C
simulation_248,7,39,15
simulation_249,2C,9,35
simulation_250,1,2,35
simulation_251,2C,32,24
simulation_252,13,8,25
simulation_253,15,12,5B
simulation_254,38,28,30
simulation_255,2C,33,16
simulation_256,26,3B,35.002
simulation_257,19,2C,35
simulation_258,9,30,34
simulation_259,16,5,2C
simulation_260,29,34,18
simulation_261,22,3C,39
simulation_262,7,2C,9
simulation_263,16,2.010,14
simulation_264,22,26,30
simulation_265,11,14,4
simulation_266,2C,26,16
simulation_267,11,10,6
simulation_268,30,25,4
simulation_269,11,4,24
simulation_270,2B,25,3C
simulation_271,8.002,13,38
simulation_272,2C,22,14
simulation_273,3B,30,38
simulation_274,4,4B,1
simulation_275,3B,26,13
simulation_276,7,35,25
simulation_277,35.002,34,22
simulation_278,35,2C,38
simulation_279,19,2.010,8
simulation_280,22,34,3C
simulation_281,2,15,3C
simulation_282,30,31,3C
simulation_283,4B,32,25
simulation_284,14,35.002,17
simulation_285,23,5B,38
simulation_286,5,1,32
simulation_287,28,3B,32
simulation_288,28,2,9
simulation_289,9,8,18
simulation_290,13,10,5B
simulation_291,39,34,35
simulation_292,18,17,34
simulation_293,35.002,29,16
simulation_294,2.010,3C,8
simulation_295,2B,3C,22
simulation_296,5,19,24
simulation_297,28,13,34
simulation_298,31,32,3
simulation_299,31,16,14
simulation_300,17,32,5B
simulation_301,31,34,12
simulation_302,33,29,18
simulation_303,11,10,8.002
simulation_304,5B,12,35.002
simulation_305,38,2.010,6
simulation_306,11,12,38
simulation_307,31,35.002,32
simulation_308,25,16,4
simulation_309,18,3B,5
simulation_310,12,33,18
simulation_311,17,2,38
simulation_312,13,18,8
simulation_313,5,38,25
simulation_314,31,17,22
simulation_315,3C,14,2.010
simulation_316,2.010,5,31
simulation_317,2.010,16,31
simulation_318,2B,3B,2
simulation_319,2.010,17,10
simulation_320,23,15,2C
simulation_321,39,5,19
simulation_322,29,31,8
simulation_323,4,2B,11
simulation_324,8,9,7
simulation_325,25,34,8.002
simulation_326,1,35,2
simulation_327,39,24,11
simulation_328,2.010,19,23
simulation_329,22,34,3
simulation_330,7,3C,31
simulation_331,9,24,25
simulation_332,2.010,9,2C
simulation_333,19,12,25
simulation_334,19,38,15
simulation_335,12,18,4B
simulation_336,4B,1,35.002
simulation_337,6,2.010,26
simulation_338,16,39,24
simulation_339,10,29,19
simulation_340,14,6,8
simulation_341,38,2C,29
simulation_342,38,2C,18
simulation_343,16,3,4
simulation_344,9,32,1
simulation_345,14,3B,17
simulation_346,9,13,5
simulation_347,25,13,23
simulation_348,26,39,35.002
simulation_349,34,5,25
simulation_350,3C,33,2C
simulation_351,4,2.010,22
simulation_352,5,28,8.002
simulation_353,12,26,8
simulation_354,5B,39,31
simulation_355,23,22,35.002
simulation_356,38,35.002,3B
simulation_357,2B,3C,4B
simulation_358,24,33,3B
simulation_359,3C,16,2B
simulation_360,2,2B,8.002
simulation_361,23,4,28
simulation_362,3,38,7
simulation_363,4B,1,28
simulation_364,33,29,9
simulation_365,2.010,4B,2
simulation_366,8.002,12,14
simulation_367,31,5B,17
simulation_368,5B,19,39
simulation_369,5B,31,4B
simulation_370,15,16,29
simulation_371,2.010,17,32
simulation_372,3C,22,8
simulation_373,3C,5,34
simulation_374,35.002,9,12
simulation_375,2.010,28,17
simulation_376,35.002,9,12
simulation_377,34,35.002,10
simulation_378,7,24,12
simulation_379,7,34,19
simulation_380,35,12,6
simulation_381,1,33,16
simulation_382,13,4B,9
simulation_383,14,22,33
simulation_384,11,4,3C
simulation_385,4B,29,18
simulation_386,25,17,22
simulation_387,5,3C,1
simulation_388,33,19,5
simulation_389,19,28,4B
simulation_390,14,2,19
simulation_391,11,39,3C
simulation_392,9,4B,34
simulation_393,9,15,25
simulation_394,24,26,15
simulation_395,5B,14,12
simulation_396,11,10,4
simulation_397,16,35,34
simulation_398,9,3B,7
simulation_399,33,8,4B
simulation_400,14,39,13
simulation_401,13,35,15
simulation_402,5B,17,15
simulation_403,18,5,28
simulation_404,30,5B,33
simulation_405,25,39,14
simulation_406,28,34,35.002
simulation_407,3B,17,9
simulation_408,2C,35,18
simulation_409,11,35.002,6
simulation_410,35,24,23
simulation_411,12,26,32
simulation_412,8,29,2C
simulation_413,3B,33,11
simulation_414,9,2B,29
simulation_415,11,2C,30
simulation_416,8,29,6
simulation_417,19,2C,5B
simulation_418,18,32,4
simulation_419,32,15,11
simulation_420,29,11,8
simulation_421,11,12,18
simulation_422,3,10,13
simulation_423,2B,4B,8.002
simulation_424,3B,28,31
simulation_425,17,2.010,18
simulation_426,12,29,18
simulation_427,4B,17,14
simulation_428,2C,1,35
simulation_429,2C,32,4
simulation_430,2,26,5B
simulation_431,32,4,7
simulation_432,14,31,13
simulation_433,39,9,23
simulation_434,4,35.002,10
simulation_435,16,5,28
simulation_436,31,2.010,2
simulation_437,10,39,16
simulation_438,8,12,10
simulation_439,3,7,17
simulation_440,23,2.010,7
simulation_441,1,31,4B
simulation_442,32,34,17
simulation_443,3B,30,18
simulation_444,8.002,24,16
simulation_445,18,13,35.002
simulation_446,22,2B,11
simulation_447,8.002,29,30
simulation_448,10,1,12
simulation_449,16,35.002,29
simulation_450,32,8,28
simulation_451,2C,38,13
simulation_452,18,32,9
simulation_453,9,1,10
simulation_454,18,8,26
simulation_455,25,3,18
simulation_456,2B,5,22
simulation_457,2.010,38,28
simulation_458,3C,2C,9
simulation_459,2.010,26,17
simulation_460,31,17,14
simulation_461,23,39,31
simulation_462,35.002,19,17
simulation_463,29,33,35.002
simulation_464,23,30,11
simulation_465,13,32,14
simulation_466,35,33,5B
simulation_467,6,29,12
simulation_468,3,19,35
simulation_469,35,12,30
simulation_470,5,4B,35.002
simulation_471,33,24,2.010
simulation_472,16,8,9
simulation_473,38,2,13
simulation_474,35,14,9
simulation_475,22,10,3C
simulation_476,16,18,35.002
simulation_477,15,32,24
simulation_478,30,17,33
simulation_479,13,4B,23
simulation_480,2B,17,26
simulation_481,35,2,6
simulation_482,30,2,35.002
simulation_483,35,33,9
simulation_484,29,15,34
simulation_485,3C,9,29
simulation_486,33,3,17
simulation_487,2B,3C,34
simulation_488,8,11,3C
simulation_489,13,17,32
simulation_490,3,5,19
simulation_491,16,39,30
simulation_492,5,29,15
simulation_493,19,17,2C
simulation_494,39,19,32
simulation_495,18,29,31
simulation_496,5,34,26
simulation_497,3C,8.002,22
simulation_498,3B,11,4
simulation_499,39,8.002,22
simulation_500,33,18,11
simulation_501,5B,16,18
simulation_502,24,23,16
simulation_503,8,1,19
simulation_504,10,34,38
simulation_505,35.002,26,3C
simulation_506,2C,1,11
simulation_507,18,39,5B
simulation_508,3,33,30
simulation_509,31,18,12
simulation_510,12,10,23
simulation_511,33,32,19
simulation_512,2C,32,8.002
simulation_513,2C,8,35
simulation_514,19,12,9
simulation_515,17,4B,33
simulation_516,23,8,7
simulation_517,3C,16,8.002
simulation_518,9,29,11
simulation_519,28,7,25
simulation_520,35.002,5B,15
simulation_521,1,30,3
simulation_522,8,5B,2.010
simulation_523,16,28,25
simulation_524,2B,8,28
simulation_525,7,26,2.010
simulation_526,10,22,2.010
simulation_527,29,2,8.002
simulation_528,16,34,29
simulation_529,2C,7,5B
simulation_530,38,24,32
simulation_531,39,38,17
simulation_532,38,13,4B
simulation_533,35,8.002,18
simulation_534,3C,12,26
simulation_535,12,32,39
simulation_536,17,2,31
simulation_537,9,24,2C
simulation_538,7,4,5
simulation_539,25,34,14
simulation_540,3,2C,18
simulation_541,35,38,25
simulation_542,5B,3B,14
simulation_543,3C,1,3B
simulation_544,18,2C,3
simulation_545,4,29,10
simulation_546,14,2C,4B
simulation_547,14,6,4B
simulation_548,2.010,3C,3B
simulation_549,29,3B,12
simulation_550,23,38,14
simulation_551,7,39,33
simulation_552,8,5B,15
simulation_553,15,28,35
simulation_554,16,12,33
simulation_555,22,32,39
simulation_556,39,17,12
simulation_557,13,35.002,32
simulation_558,2,35.002,3
simulation_559,26,3,3C
simulation_0,22,31,35,4
simulation_1,29,35,16,18
simulation_2,2C,15,3C,14
simulation_3,38,3C,4B,35.002
simulation_4,9,5,15,23
simulation_5,31,23,26,3
simulation_6,30,3,22,7
simulation_7,22,2.010,16,7
simulation_8,5B,2,3B,1
simulation_9,4,11,31,33
simulation_10,39,2B,8.002,9
simulation_11,2C,4B,2,15
simulation_12,4B,22,2,26
simulation_13,25,8.002,26,3C
simulation_14,5B,6,2.010,11
simulation_15,14,25,7,8.002
simulation_16,16,8.002,24,5B
simulation_17,25,22,35,8
simulation_18,18,4B,16,2C
simulation_19,28,2.010,25,6
simulation_20,39,6,3C,29
simulation_21,6,16,39,35
simulation_22,35,5,3B,38
simulation_23,31,3B,4B,2.010
simulation_24,2,39,29,4B
simulation_25,2,35.002,5,35
simulation_26,29,3C,4B,17
simulation_27,22,15,23,19
simulation_28,12,11,17,30
simulation_29,39,3,12,18
simulation_30,38,33,17,25
simulation_31,35.002,23,3,30
simulation_32,33,29,25,6
simulation_33,10,13,18,6
simulation_34,28,30,25,32
simulation_35,35,23,3B,9
simulation_36,26,31,3B,11
simulation_37,18,32,5,2.010
simulation_38,38,2C,2,7
simulation_39,4,32,7,18
simulation_40,4,34,33,15
simulation_41,3B,31,8,35
simulation_42,35,2,25,3C
simulation_43,8,5B,25,4
simulation_44,11,25,3,2.010
simulation_45,3C,32,35,1
simulation_46,35.002,38,4,3B
simulation_47,32,4B,35,2B
simulation_48,2,32,16,34
simulation_49,4B,8,3,33
simulation_50,39,30,25,11
simulation_51,33,28,39,24
simulation_52,3B,26,5,30
simulation_53,28,32,12,5B
simulation_54,12,13,15,3
simulation_55,26,12,29,22
simulation_56,13,4B,29,14
simulation_57,2,4,3,34
simulation_58,33,3C,3B,23
simulation_59,8.002,5B,31,4
simulation_60,2,29,38,3
simulation_61,2B,29,7,1
simulation_62,4,16,18,14
simulation_63,39,2B,35,28
simulation_64,8.002,34,28,13
simulation_65,31,22,14,2.010
simulation_66,25,10,24,35
simulation_67,18,11,29,35.002
simulation_68,2C,19,16,10
simulation_69,19,3C,22,25
simulation_70,24,25,22,39
simulation_71,11,19,2C,3B
simulation_72,8,30,5,14
simulation_73,8.002,29,17,32
simulation_74,38,7,33,32
simulation_75,2,4B,2C,17
simulation_76,10,30,3,7
simulation_77,7,29,4,22
simulation_78,33,32,30,22
simulation_79,31,14,2C,10
simulation_80,11,3B,39,2B
simulation_81,19,15,2,25
simulation_82,35.002,11,3B,23
simulation_83,9,2C,14,24
simulation_84,3,17,3C,1
simulation_85,32,7,10,12
simulation_86,9,2C,39,14
simulation_87,8.002,35,32,6
simulation_88,35.002,35,4,19
simulation_89,38,5B,13,3C
simulation_90,38,13,34,18
simulation_91,35.002,34,29,39
simulation_92,10,4B,7,34
simulation_93,3C,5,9,26
simulation_94,39,2B,33,4
simulation_95,4,12,23,8
simulation_96,18,12,29,3B
simulation_97,34,16,6,23
simulation_98,29,6,32,24
simulation_99,35.002,22,5,35
simulation_100,1,13,11,34
simulation_101,13,18,35,38
simulation_102,8,4B,30,35.002
simulation_103,2,13,38,25
simulation_104,1,25,33,6
simulation_105,1,31,7,3
simulation_106,7,38,25,28
simulation_107,26,15,1,2.010
simulation_108,3C,29,30,25
simulation_109,2B,35.002,5B,39
simulation_110,16,3C,4,34
simulation_111,29,39,15,14
simulation_112,39,2B,8.002,32
simulation_113,33,8.002,10,29
simulation_114,10,2B,30,5B
simulation_115,1,2.010,32,7
simulation_116,19,14,35,16
simulation_117,2,4B,2C,28
simulation_118,4B,31,3,32
simulation_119,33,22,34,13
simulation_120,8,17,2C,5B
simulation_121,3C,18,2,8
simulation_122,6,3B,31,13
simulation_123,24,16,10,13
simulation_124,8,3C,30,4
simulation_125,24,8.002,2,3C
simulation_126,29,3C,8,35.002
simulation_127,19,32,12,31
simulation_128,6,3B,38,39
simulation_129,19,12,5B,32
simulation_130,4B,6,30,11
simulation_131,38,4,16,18
simulation_132,15,23,13,22
simulation_133,31,5B,33,2B
simulation_134,30,28,22,14
simulation_135,18,39,4B,2B
simulation_136,1,8,39,5
simulation_137,30,10,39,2
simulation_138,31,14,3,35
simulation_139,31,10,3C,13
simulation_140,12,2.010,9,1
simulation_141,26,18,28,17
simulation_142,31,10,38,29
simulation_143,14,34,33,18
simulation_144,31,19,23,26
simulation_145,17,3C,30,33
simulation_146,28,3B,38,34
simulation_147,6,35.002,2.010,15
simulation_148,38,3B,35.002,3C
simulation_149,9,2B,35,39
simulation_150,2B,4,5B,19
simulation_151,17,30,31,22
simulation_152,30,3C,9,19
simulation_153,17,29,8.002,3C
simulation_154,24,13,35,18
simulation_155,8,39,10,38
simulation_156,16,18,3B,10
simulation_157,14,30,26,31
simulation_158,5,3C,11,4
simulation_159,2.010,5B,30,28
simulation_160,6,15,10,26
simulation_161,11,25,3B,13
simulation_162,22,30,19,8
simulation_163,3C,25,31,8.002
simulation_164,3C,28,4B,13
simulation_165,10,4,2,4B
simulation_166,2B,35.002,3C,10
simulation_167,14,29,9,26
simulation_168,3C,2C,35,9
simulation_169,8,5,2B,17
simulation_170,25,13,28,7
simulation_171,5B,3C,4,24
simulation_172,17,3C,29,34
simulation_173,9,2C,2B,16
simulation_174,23,33,4B,24
simulation_175,35.002,1,23,24
simulation_176,19,12,2C,18
simulation_177,33,2,5,17
simulation_178,31,4,29,34
simulation_179,19,17,15,35.002
simulation_180,2B,13,11,7
simulation_181,24,34,35.002,2B
simulation_182,35.002,7,5,2C
simulation_183,33,24,10,17
simulation_184,2C,38,6,32
simulation_185,30,2B,26,16
simulation_186,5B,3C,3,31
simulation_187,1,2B,35.002,7
simulation_188,9,8,22,4B
simulation_189,29,16,8.002,13
simulation_190,18,35,4B,31
simulation_191,17,12,9,18
simulation_192,30,3B,22,3
simulation_193,18,2B,6,19
simulation_194,28,19,2,17
simulation_195,5,25,6,29
simulation_196,5,35.002,22,2.010
simulation_197,5,35,35.002,3C
simulation_198,22,32,35,38
simulation_199,3B,2B,12,28
simulation_200,24,39,13,16
simulation_201,10,8.002,3B,4
simulation_202,4,2.010,22,28
simulation_203,22,2.010,28,3
simulation_204,4B,8.002,12,2C
simulation_205,5B,19,28,8
simulation_206,8,2,18,10
simulation_207,39,3,17,13
simulation_208,30,28,5,8
simulation_209,10,5B,2,4
simulation_210,5,15,22,31
simulation_211,8.002,2,9,33
simulation_212,5,25,23,2.010
simulation_213,33,8.002,14,9
simulation_214,5,22,10,13
simulation_215,39,8,17,10
simulation_216,35.002,8,35,24
simulation_217,26,35.002,18,12
simulation_218,13,28,38,10
simulation_219,3,15,39,23
simulation_220,39,26,38,8
simulation_221,5,2.010,26,3B
simulation_222,3C,2.010,5B,35
simulation_223,4,1,11,17
simulation_224,39,15,8,4B
simulation_225,33,9,25,14
simulation_226,5B,2.010,3C,2B
simulation_227,1,35.002,31,39
simulation_228,3,19,22,17
simulation_229,7,16,35.002,28
simulation_230,35,3,35.002,34
simulation_231,16,29,26,2C
simulation_232,25,14,8.002,23
simulation_233,8.002,3B,22,12
simulation_234,24,31,4,39
simulation_235,31,5B,12,35
simulation_236,2,32,39,8.002
simulation_237,8.002,22,2.010,23
simulation_238,5B,24,2,15
simulation_239,17,19,24,3B
simulation_240,9,26,33,2C
simulation_241,3,4,3B,11
simulation_242,14,4,31,15
simulation_243,29,5B,38,25
simulation_244,4,34,30,11
simulation_245,3B,8.002,2B,3C
simulation_246,7,6,8,2B
simulation_247,5,9,3B,19
simulation_248,15,25,9,23
simulation_249,5B,4,35,11
simulation_250,30,15,2,13
simulation_251,31,5,4B,30
simulation_252,6,25,8.002,15
simulation_253,16,7,26,25
simulation_254,3,14,39,35
simulation_255,1,6,32,18
simulation_256,3,3B,17,12
simulation_257,33,35.002,35,6
simulation_258,39,25,13,14
simulation_259,5,31,1,14
simulation_260,11,2B,3B,23
simulation_261,12,6,9,33
simulation_262,9,32,31,26
simulation_263,35.002,38,9,5
simulation_264,2.010,17,33,12
simulation_265,22,39,18,26
simulation_266,33,3C,4B,6
simulation_267,18,16,23,4B
simulation_268,17,8,13,5
simulation_269,32,24,15,22
simulation_270,39,4B,9,23
simulation_271,14,19,3C,4B
simulation_272,6,22,2.010,4B
simulation_273,16,39,33,7
simulation_274,22,39,3,9
simulation_275,14,10,26,18
simulation_276,1,24,3C,2C
simulation_277,4,12,32,10
simulation_278,38,25,32,2.010
simulation_279,6,12,3,31
simulation_280,2B,4B,24,23
simulation_281,4,5,26,33
simulation_282,34,23,12,15
simulation_283,8,5B,12,29
simulation_284,4B,17,18,26
simulation_285,39,7,4,3B
simulation_286,2C,8,17,11
simulation_287,35.002,22,39,28
simulation_288,3C,33,4,35
simulation_289,30,5B,15,25
simulation_290,33,5,3B,18
simulation_291,19,16,31,23
simulation_292,3B,35,28,12
simulation_293,3C,33,2.010,31
simulation_294,3B,2,7,4B
simulation_295,2B,2C,3B,8
simulation_296,19,1,24,26
simulation_297,39,33,2B,2
simulation_298,30,4B,35.002,9
simulation_299,39,35.002,16,10
simulation_300,35,8,10,35.002
simulation_301,13,17,3,4
simulation_302,2,4,31,3
simulation_303,2,32,34,5
simulation_304,8,38,31,13
simulation_305,23,35.002,12,28
simulation_306,28,10,25,29
simulation_307,3B,34,4,12
simulation_308,15,25,22,12
simulation_309,5,30,17,19
simulation_310,35.002,12,24,28
simulation_311,4,17,29,30
simulation_312,5B,13,24,38
simulation_313,1,14,9,18
simulation_314,34,24,11,19
simulation_315,32,31,34,16
simulation_316,17,4,39,7
simulation_317,19,11,15,31
simulation_318,3B,12,7,14
simulation_319,1,2C,28,34
simulation_320,18,14,15,22
simulation_321,17,32,2.010,26
simulation_322,5B,25,32,18
simulation_323,3C,9,31,8.002
simulation_324,15,2B,38,2
simulation_325,28,3,17,2B
simulation_326,2C,6,4,28
simulation_327,25,8,19,10
simulation_328,31,8,34,3
simulation_329,2.010,13,19,11
simulation_330,2.010,2B,25,13
simulation_331,2B,3,12,7
simulation_332,5B,3C,4,16
simulation_333,32,12,39,2B
simulation_334,18,12,38,34
simulation_335,33,4B,9,23
simulation_336,3,16,5B,2
simulation_337,25,29,38,4
simulation_338,25,13,3,2C
simulation_339,7,22,12,8.002
simulation_340,1,3B,13,4B
simulation_341,16,29,4B,35
simulation_342,26,13,4,4B
simulation_343,3B,28,3,13
simulation_344,33,7,5,16
simulation_345,30,6,29,2B
simulation_346,15,2.010,9,30
simulation_347,5,29,2C,10
simulation_348,11,3C,25,4B
simulation_349,3,15,23,5B
simulation_350,8.002,2,3B,3
simulation_351,1,23,5,12
simulation_352,4,4B,2C,11
simulation_353,26,35.002,2.010,12
simulation_354,35,19,32,5
simulation_355,3,23,3B,2B
simulation_356,6,24,16,25
simulation_357,11,6,34,33
simulation_358,2.010,5B,7,11
simulation_359,2,29,9,34
simulation_360,29,4,15,26
simulation_361,13,2.010,2B,1
simulation_362,4B,3,35.002,16
simulation_363,33,26,11,1
simulation_364,35.002,15,39,9
simulation_365,7,30,5,8.002
